Learning rate	Momentum	Hidden layers	Nodes per layer	Stopping Criteria
0.1	0.9	1	2* num dimensions	MSE window of size 20  stops if improvement is less than 0.001
Arff File	 Training Accuracy	 Test Accuracy		
outputs/filtered-50x50-400k-200d_output.txt	0.176606	0.0896552		
outputs/japanese-50x50-allk-110d_output.txt	0.13125	0.132075		
outputs/mitchell-50x50-allk-105d_output.txt	0.256	0.261905		
outputs/japanese-50x50-200k-100d_output.txt	0.13125	0.169811		
outputs/mitchell-50x50-allk-40d_output.txt	0.376	0.142857		
outputs/japanese-50x50-allk-100d_output.txt	0.15	0.132075		
outputs/japanese-50x50-allk-20d_output.txt	0.89375	0.641509		
outputs/mitchell-50x50-allk-120d_output.txt	0	0		
outputs/japanese-50x50-allk-200d_output.txt	0.11875	0.207547		
outputs/japanese-50x50-allk-75d_output.txt	0.2125	0.169811		
outputs/japanese-50x50-allk-50d_output.txt	0.9125	0.716981		
outputs/japanese-50x50-allk-85d_output.txt	0.13125	0.188679		
outputs/mitchell-50x50-allk-110d_output.txt	0	0		
outputs/japanese-50x50-allk-175d_output.txt	0.09375	0.132075		
outputs/mitchell-50x50-allk-45d_output.txt	0.368	0.214286		
outputs/filtered-50x50-100k-50d_output.txt	0.259174	0.158621		
outputs/japanese-50x50-allk-30d_output.txt	0.84375	0.679245		
outputs/japanese-50x50-allk-180d_output.txt	0.15625	0.132075		
outputs/japanese-50x50-allk-80d_output.txt	0.2	0.132075		
outputs/japanese-50x50-allk-5d_output.txt	0.275	0.188679		
outputs/mitchell-50x50-allk-15d_output.txt	0.368	0.166667		
outputs/japanese-50x50-allk-10d_output.txt	0.5125	0.509434		
outputs/mitchell-50x50-allk-5d_output.txt	0.344	0.214286		
outputs/japanese-50x50-100k-50d_output.txt	0.91875	0.773585		
outputs/japanese-50x50-allk-210d_output.txt	0.175	0.188679		
outputs/japanese-50x50-allk-155d_output.txt	0.1375	0.188679		
outputs/japanese-50x50-allk-170d_output.txt	0.1375	0.132075		
outputs/japanese-50x50-allk-135d_output.txt	0.1375	0.150943		
outputs/mitchell-50x50-allk-30d_output.txt	0.408	0.285714		
outputs/japanese-50x50-allk-65d_output.txt	0.11875	0.188679		
outputs/mitchell-50x50-allk-25d_output.txt	0.288	0.214286		
outputs/mitchell-50x50-allk-65d_output.txt	0	0		
outputs/filtered-50x50-200k-100d_output.txt	0.165138	0.193103		
outputs/mitchell-50x50-allk-100d_output.txt	0.272	0.166667		
outputs/all-50x50-400k-200d_output.txt	0.149819	0.12973		
outputs/japanese-50x50-allk-115d_output.txt	0.16875	0.207547		
outputs/japanese-50x50-allk-90d_output.txt	0.125	0.169811		
outputs/mitchell-50x50-allk-35d_output.txt	0.464	0.119048		
outputs/mitchell-50x50-allk-85d_output.txt	0	0		
outputs/mitchell-50x50-allk-55d_output.txt	0.032	0.047619		
outputs/mitchell-50x50-allk-90d_output.txt	0.024	0.0238095		
outputs/japanese-50x50-allk-145d_output.txt	0.13125	0.150943		
outputs/japanese-50x50-allk-125d_output.txt	0.15	0.0754717		
outputs/japanese-50x50-allk-160d_output.txt	0.11875	0.188679		
outputs/mitchell-50x50-allk-75d_output.txt	0	0		
outputs/all-50x50-100k-50d_output.txt	0.133574	0.12973		
outputs/japanese-50x50-allk-45d_output.txt	0.90625	0.886792		
outputs/all-50x50-200k-100d_output.txt	0.128159	0.156757		
outputs/japanese-50x50-allk-25d_output.txt	0.93125	0.660377		
outputs/japanese-50x50-allk-60d_output.txt	0.24375	0.377358		
outputs/mitchell-50x50-allk-60d_output.txt	0	0		
outputs/mitchell-50x50-allk-95d_output.txt	0.168	0.0238095		
outputs/mitchell-50x50-allk-70d_output.txt	0	0		
outputs/japanese-50x50-allk-185d_output.txt	0.15	0.132075		
outputs/japanese-50x50-allk-165d_output.txt	0.1625	0.0943396		
outputs/japanese-50x50-allk-99v_output.txt	0.11875	0.150943		
outputs/japanese-50x50-allk-105d_output.txt	0.15625	0.150943		
outputs/japanese-50x50-allk-150d_output.txt	0.175	0.132075		
outputs/mitchell-50x50-allk-10d_output.txt	0.296	0.119048		
outputs/japanese-50x50-allk-130d_output.txt	0.15625	0.169811		
outputs/japanese-50x50-allk-70d_output.txt	0.28125	0.264151		
outputs/japanese-50x50-allk-35d_output.txt	0.90625	0.754717		
outputs/japanese-50x50-allk-55d_output.txt	0.14375	0.132075		
outputs/mitchell-50x50-allk-125d_output.txt	0.256	0.238095		
outputs/mitchell-50x50-allk-80d_output.txt	0	0		
outputs/japanese-50x50-allk-140d_output.txt	0.1625	0.0754717		
outputs/japanese-50x50-allk-195d_output.txt	0.16875	0.226415		
outputs/mitchell-50x50-allk-115d_output.txt	0	0		
outputs/mitchell-50x50-allk-50d_output.txt	0.296	0.166667		
outputs/japanese-50x50-allk-95d_output.txt	0.1375	0.150943		
outputs/japanese-50x50-allk-120d_output.txt	0.125	0.150943		
outputs/japanese-50x50-allk-190d_output.txt	0.14375	0.150943		
outputs/japanese-50x50-allk-40d_output.txt	0.91875	0.792453		
outputs/mitchell-50x50-allk-20d_output.txt	0.4	0.214286		
outputs/japanese-50x50-allk-15d_output.txt	0.7625	0.679245		
outputs/japanese-50x50-allk-205d_output.txt	0.21875	0.113208		
	0.2589272368	0.2140669368		
