Learing	Momentum	l	h	stop
0.8	0.9	1	2xdim	missclass window 20, <= 0
Arff File	 Training Accuracy	 Test Accuracy		
outputs/filtered-50x50-400k-200d_output.txt	0.110092	0.124138		
outputs/japanese-50x50-allk-110d_output.txt	0.125	0.226415		
outputs/mitchell-50x50-allk-105d_output.txt	0.2	0.404762		
outputs/japanese-50x50-200k-100d_output.txt	0.14375	0.132075		
outputs/mitchell-50x50-allk-40d_output.txt	0	0		
outputs/japanese-50x50-allk-100d_output.txt	0.125	0.188679		
outputs/japanese-50x50-allk-20d_output.txt	0.14375	0.169811		
outputs/mitchell-50x50-allk-120d_output.txt	0	0		
outputs/japanese-50x50-allk-200d_output.txt	0.11875	0.207547		
outputs/japanese-50x50-allk-75d_output.txt	0.13125	0.169811		
outputs/japanese-50x50-allk-50d_output.txt	0.15625	0.0943396		
outputs/japanese-50x50-allk-85d_output.txt	0.1625	0.188679		
outputs/mitchell-50x50-allk-110d_output.txt	0.256	0.238095		
outputs/japanese-50x50-allk-175d_output.txt	0.14375	0.169811		
outputs/mitchell-50x50-allk-45d_output.txt	0.264	0.214286		
outputs/filtered-50x50-100k-50d_output.txt	0.201835	0.193103		
outputs/japanese-50x50-allk-30d_output.txt	0.15625	0.113208		
outputs/japanese-50x50-allk-180d_output.txt	0.11875	0.188679		
outputs/japanese-50x50-allk-80d_output.txt	0.15	0.169811		
outputs/japanese-50x50-allk-5d_output.txt	0.15	0.113208		
outputs/mitchell-50x50-allk-15d_output.txt	0.256	0.261905		
outputs/japanese-50x50-allk-10d_output.txt	0.54375	0.566038		
outputs/mitchell-50x50-allk-5d_output.txt	0.232	0.309524		
outputs/japanese-50x50-100k-50d_output.txt	0.125	0.188679		
outputs/japanese-50x50-allk-210d_output.txt	0.14375	0.132075		
outputs/japanese-50x50-allk-155d_output.txt	0.16875	0.0377358		
outputs/japanese-50x50-allk-170d_output.txt	0.10625	0.264151		
outputs/japanese-50x50-allk-135d_output.txt	0.13125	0.207547		
outputs/mitchell-50x50-allk-30d_output.txt	0.224	0.357143		
outputs/japanese-50x50-allk-65d_output.txt	0.14375	0.113208		
outputs/mitchell-50x50-allk-25d_output.txt	0.256	0.190476		
outputs/mitchell-50x50-allk-65d_output.txt	0.28	0.166667		
outputs/filtered-50x50-200k-100d_output.txt	0.169725	0.17931		
outputs/mitchell-50x50-allk-100d_output.txt	0.264	0.214286		
outputs/all-50x50-400k-200d_output.txt	0.148014	0.194595		
outputs/japanese-50x50-allk-115d_output.txt	0.175	0.0377358		
outputs/japanese-50x50-allk-90d_output.txt	0.14375	0.132075		
outputs/mitchell-50x50-allk-35d_output.txt	0	0		
outputs/mitchell-50x50-allk-85d_output.txt	0.248	0.261905		
outputs/mitchell-50x50-allk-55d_output.txt	0.24	0.285714		
outputs/mitchell-50x50-allk-90d_output.txt	0	0		
outputs/japanese-50x50-allk-145d_output.txt	0.13125	0.169811		
outputs/japanese-50x50-allk-125d_output.txt	0.125	0.169811		
outputs/japanese-50x50-allk-160d_output.txt	0.14375	0.132075		
outputs/mitchell-50x50-allk-75d_output.txt	0.28	0.190476		
outputs/all-50x50-100k-50d_output.txt	0.142599	0.145946		
outputs/japanese-50x50-allk-45d_output.txt	0.15625	0.0754717		
outputs/all-50x50-200k-100d_output.txt	0.140794	0.151351		
outputs/japanese-50x50-allk-25d_output.txt	0.15625	0.0943396		
outputs/japanese-50x50-allk-60d_output.txt	0.1375	0.169811		
outputs/mitchell-50x50-allk-60d_output.txt	0	0		
outputs/mitchell-50x50-allk-95d_output.txt	0	0		
outputs/mitchell-50x50-allk-70d_output.txt	0.2	0.404762		
outputs/japanese-50x50-allk-185d_output.txt	0.13125	0.150943		
outputs/japanese-50x50-allk-165d_output.txt	0.125	0.188679		
outputs/japanese-50x50-allk-99v_output.txt	0.15	0.113208		
outputs/japanese-50x50-allk-105d_output.txt	0.1375	0.150943		
outputs/japanese-50x50-allk-150d_output.txt	0.13125	0.169811		
outputs/mitchell-50x50-allk-10d_output.txt	0.28	0.166667		
outputs/japanese-50x50-allk-130d_output.txt	0.125	0.188679		
outputs/japanese-50x50-allk-70d_output.txt	0.1	0.245283		
outputs/japanese-50x50-allk-35d_output.txt	0.1375	0.132075		
outputs/japanese-50x50-allk-55d_output.txt	0.15	0.113208		
outputs/mitchell-50x50-allk-125d_output.txt	0	0		
outputs/mitchell-50x50-allk-80d_output.txt	0.232	0.261905		
outputs/japanese-50x50-allk-140d_output.txt	0.1625	0.0754717		
outputs/japanese-50x50-allk-195d_output.txt	0.14375	0.132075		
outputs/mitchell-50x50-allk-115d_output.txt	0	0		
outputs/mitchell-50x50-allk-50d_output.txt	0.248	0.214286		
outputs/japanese-50x50-allk-95d_output.txt	0.1625	0.169811		
outputs/japanese-50x50-allk-120d_output.txt	0.13125	0.169811		
outputs/japanese-50x50-allk-190d_output.txt	0.1625	0.113208		
outputs/japanese-50x50-allk-40d_output.txt	0.15625	0.0754717		
outputs/mitchell-50x50-allk-20d_output.txt	0.256	0.190476		
outputs/japanese-50x50-allk-15d_output.txt	0.15	0.188679		
outputs/japanese-50x50-allk-205d_output.txt	0.15625	0.113208		
	0.1565501184	0.1636181566		
